Rodada,Sem,Dia,Data,Horário,Em casa,Resultado,Visitante,Público,Local,Árbitro,Relatório da Partida,Notas
Segunda fase,4,qua,2014-03-19,22:00,Newell's OB ar,1–1,br Grêmio,,Estadio Marcelo Alberto Bielsa,Carlos Vera,Relatório da Partida,
Segunda fase,4,qui,2014-03-20,22:00,Cruzeiro br,2–2,uy Defensor,,Estádio Governador Magalhães Pinto,Mauro Vigliano,Relatório da Partida,
Segunda fase,4,qui,2014-03-20,22:00,Unión Española cl,1–0,ar San Lorenzo,,Estadio Santa Laura-Universidad SEK,Hernando Buitrago,Relatório da Partida,
,,,,,,,,,,,,
Segunda fase,5,ter,2014-03-25,19:00 (20:30),Zamora ve,2–0,py Nacional,,Estadio Rafael Agustín Tovar,Diego Abal,Relatório da Partida,
Segunda fase,5,qua,2014-03-26,19:45,Nacional uy,2–4,ar Newell's OB,,Estadio Centenario,Patricio Polic,Relatório da Partida,
Segunda fase,5,ter,2014-03-25,20:00 (23:00),Santos mx,4–1,uy Peñarol,,Estadio Nuevo Corona,Leandro Pedro Vuaden,Relatório da Partida,
Segunda fase,5,ter,2014-03-25,21:30 (23:00),Anzoátegui ve,1–3,ar Arsenal,,Estadio Olímpico General José Antonio An...,Ricardo Marques Ribeiro,Relatório da Partida,
Segunda fase,5,qui,2014-03-27,18:30,Lanús ar,2–0,py Cerro Porteño,,Estadio Ciudad de Lanús,Roberto Silvera,Relatório da Partida,
Segunda fase,5,qui,2014-03-27,18:45 (20:45),Independiente ec,1–1,ar San Lorenzo,,Estadio Olímpico Atahualpa,Carlos Amarilla,Relatório da Partida,
Segunda fase,5,qua,2014-03-26,20:00 (22:00),AD Cali co,1–1,cl O'Higgins,,Estadio Olímpico Pascual Guerrero,Roberto García,Relatório da Partida,
Segunda fase,5,qua,2014-03-26,21:15 (00:15),León mx,0–1,bo Bolívar,,Estadio León,Marlon Escalante,Relatório da Partida,
Segunda fase,5,qua,2014-03-26,22:00,Atl Paranaense br,1–3,ar Vélez Sarsf,,Estádio Durival de Brito e Silva,Wilmar Roldán,Relatório da Partida,
Segunda fase,5,qui,2014-03-27,23:00,Universitario pe,3–3,bo The Strongest,,Estadio Monumental Antonio Vespucio Libe...,Hernando Buitrago,Relatório da Partida,
Segunda fase,5,ter,2014-04-01,18:00 (20:00),Real Garcilaso pe,0–2,uy Defensor,,Estadio Huancayo,Julio Quintana,Relatório da Partida,
Segunda fase,5,qua,2014-04-02,20:45,Botafogo (RJ) br,0–1,cl Unión Española,,Estadio Jornalista Mário Filho,Daniel Fedorczuk,Relatório da Partida,
Segunda fase,5,qua,2014-04-02,19:00 (21:00),CS Emelec ec,1–2,br Flamengo,,Estadio Banco del Pacífico,Julio Bascuñán,Relatório da Partida,
Segunda fase,5,qua,2014-04-02,19:00 (21:00),Nacional co,0–2,br Grêmio,,Estadio Atanasio Girardot,Enrique Cáceres,Relatório da Partida,
Segunda fase,5,qui,2014-04-03,20:00,Univ Chile cl,0–2,br Cruzeiro,,Estadio Nacional Julio Martínez Prádanos,Germán Delfino,Relatório da Partida,
Segunda fase,5,qui,2014-04-03,21:00 (23:00),Santa Fe co,1–1,br Atlético Mineiro,,Estadio Nemesio Camacho El Campín,Saúl Laverni,Relatório da Partida,
,,,,,,,,,,,,
Segunda fase,6,ter,2014-04-08,17:45 (18:45),The Strongest bo,2–1,br Atl Paranaense,,Estadio Hernando Siles,Roddy Zambrano,Relatório da Partida,
Segunda fase,6,ter,2014-04-08,18:45,Vélez Sarsf ar,1–0,pe Universitario,,Estadio José Amalfitani,Carlos Ulloa,Relatório da Partida,
Segunda fase,6,qua,2014-04-09,18:45,San Lorenzo ar,3–0,br Botafogo (RJ),,Estadio Pedro Bidegaín,Juan Soto,Relatório da Partida,
Segunda fase,6,qua,2014-04-09,18:45,Unión Española cl,4–5,ec Independiente,,Estadio Santa Laura-Universidad SEK,Julio Quintana,Relatório da Partida,
Segunda fase,6,ter,2014-04-08,20:00 (21:00),Cerro Porteño py,3–2,co AD Cali,,Estadio General Pablo Rojas,Darío Ubríaco,Relatório da Partida,
Segunda fase,6,ter,2014-04-08,21:00,O'Higgins cl,0–0,ar Lanús,,Estadio CODELCO-El Teniente,Wilton Sampaio,Relatório da Partida,
